=== Shared String - Reader-Writer Problem ===
Mode: writer_pref
Readers: 5, Writers: 8, Duration: 8 seconds

[22:42:29.809] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[22:42:29.826] [W7] wrote: "Race!"
[22:42:29.828] [W6] wrote: "Readers and writers must coordinate access to shared data."
[22:42:29.831] [R5] read: "Readers and writers must coordinate access to shared data."
[22:42:29.836] [R3] read: "Readers and writers must coordinate access to shared data."
[22:42:29.841] [R2] read: "Readers and writers must coordinate access to shared data."
[22:42:29.845] [R4] read: "Readers and writers must coordinate access to shared data."
[22:42:29.852] [W1] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:42:29.854] [W5] wrote: "Race!"
[22:42:29.856] [R1] read: "Race!"
[22:42:29.859] [R3] read: "Race!"
[22:42:29.867] [R4] read: "Race!"
[22:42:29.868] [W4] wrote: "Readers and writers must coordinate access to shared data."
[22:42:29.874] [W6] wrote: "Race!"
[22:42:29.878] [W3] wrote: "Race!"
[22:42:29.881] [W8] wrote: "Race!"
[22:42:29.883] [R2] read: "Race!"
[22:42:29.883] [R3] read: "Race!"
[22:42:29.888] [W2] wrote: "Race!"
[22:42:29.890] [R5] read: "Race!"
[22:42:29.891] [W1] wrote: "Readers and writers must coordinate access to shared data."
[22:42:29.891] [W7] wrote: "Mutual exclusion ensures only one writer at a time."
[22:42:29.894] [R1] read: "Mutual exclusion ensures only one writer at a time."
[22:42:29.899] [W5] wrote: "Mutual exclusion ensures only one writer at a time."
[22:42:29.901] [R4] read: "Mutual exclusion ensures only one writer at a time."
[22:42:29.906] [W4] wrote: "Race!"
[22:42:29.908] [R2] read: "Race!"
[22:42:29.910] [R3] read: "Race!"
[22:42:29.915] [W8] wrote: "Mutual exclusion ensures only one writer at a time."
[22:42:29.923] [W7] wrote: "Pthread library provides powerful threading primitives."
[22:42:29.925] [R5] read: "Pthread library provides powerful threading primitives."
[22:42:29.928] [R2] read: "Pthread library provides powerful threading primitives."
[22:42:29.936] [W4] wrote: "Mutual exclusion ensures only one writer at a time."
[22:42:29.937] [R1] read: "Mutual exclusion ensures only one writer at a time."
[22:42:29.945] [W1] wrote: "Race!"
[22:42:29.949] [W3] wrote: "Mutual exclusion ensures only one writer at a time."
[22:42:29.949] [W5] wrote: "Pthread library provides powerful threading primitives."
[22:42:29.953] [W6] wrote: "Mutual exclusion ensures only one writer at a time."
[22:42:29.956] [R4] read: "Mutual exclusion ensures only one writer at a time."
[22:42:29.960] [R3] read: "Mutual exclusion ensures only one writer at a time."
[22:42:29.972] [R5] read: "Mutual exclusion ensures only one writer at a time."
[22:42:29.975] [W2] wrote: "Mutual exclusion ensures only one writer at a time."
[22:42:29.982] [W1] wrote: "Mutual exclusion ensures only one writer at a time."
[22:42:29.983] [W8] wrote: "Pthread library provides powerful threading primitives."
[22:42:29.984] [R2] read: "Pthread library provides powerful threading primitives."
[22:42:29.986] [W7] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:42:29.993] [R1] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:42:29.994] [W4] wrote: "Pthread library provides powerful threading primitives."
[22:42:30.005] [W5] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
